AuthorID,AuthorName,Count_cited
VhyE-qsAAAAJ,Aebersold R,156212
TwMib_QAAAAJ,Luc Van Gool,114447
YtTQLjEAAAAJ,Ari Helenius,69577
n-Oret4AAAAJ,Adrian Perrig,62625
sp5S5TMAAAAJ,Reto Knutti,59983
krIBxQgAAAAJ,Martin Mächler,59016
OaAKHewAAAAJ,Lothar Thiele,54868
ebrNfPAAAAAJ,Dirk Helbing,54112
4I2CNNoAAAAJ,Alfons Baiker,50052
MDIyLnwAAAAJ,Roland Siegwart,48511
WIo5s8gAAAAJ,johan six,45967
2xvw-TYAAAAJ,TM Rice,45362
8B4xjdYAAAAJ,Ursula Keller,42333
eUfdZowAAAAJ,Nicola Spaldin,42190
HGsSmMAAAAAJ,didier sornette,42095
DfmFBWMAAAAJ,Atac Imamoglu,41772
AfqWB1oAAAAJ,Jerome Faist,39200
3CB0kLMAAAAJ,Adrian Biland,38255
SOi3kXgAAAAJ,David J. Norris,37487
tiIdgrAAAAAJ,Markus Stoffel,37210
1BM0s70AAAAJ,Lukas Novotny,37163
vSD9i7kAAAAJ,Nicolas Gruber,36795
0EMhA8AAAAAJ,Johann Kolar,35993
aIGWBD4AAAAJ,Joram Feldon,34719
uxk0GmUAAAAJ,Markus Gross,34704
bGemzGgAAAAJ,Sotiris E. Pratsinis,34445
tQuQ1FwAAAAJ,Gunnar Rätsch,33915
aAJzSOUAAAAJ,Georg von Krogh,33549
T3hAyLkAAAAJ,Thomas Hofmann,33239
HQu2vicAAAAJ,Ralph Müller,32583
qbp3A8sAAAAJ,Ludwig J. Gauckler,30814
3r-fWJwAAAAJ,Peter Bühlmann,30240
NQYd_lsAAAAJ,Peter Günter,30006
YYH0BjEAAAAJ,Marc Pollefeys,29837
KmYuAeUAAAAJ,Christoph Schaer,29498
V752W9IAAAAJ,Göran Andersson,29308
mNdz5CMAAAAJ,Dani Or,29286
mgjVjH8AAAAJ,Javier Perez-Ramirez,29140
FS4800YAAAAJ,Sonia I. Seneviratne,28938
so4ouzAAAAAJ,erno pretsch,28266
Eu0oEu0AAAAJ,Ernst Hafen,28147
apfgZYkAAAAJ,Carollo C. Marcella,28030
oYb5IdYAAAAJ,Petr Novak,27954
iHxT7SkAAAAJ,Tilman Esslinger,27732
Uwa4FiUAAAAJ,Irka Hajdas,27657
kRZWwZ8AAAAJ,Marcus Hans Textor,27621
7XyGUGkAAAAJ,Onur Mutlu,27535
L_JGehAAAAAJ,Sebastian Bonhoeffer,27303
EG3VPm4AAAAJ,Roger Wattenhofer,26893
qjrp4S0AAAAJ,Herbert Bay,26508
RQZI4r0AAAAJ,Dimos Poulikakos,26456
nvFeNKYAAAAJ,Renato Zenobi,25830
aM061U8AAAAJ,Ueli Suter,25153
GetqmkkAAAAJ,Kay Axhausen,24881
7EVXmbEAAAAJ,Aldo Steinfeld,24786
6PusN1MAAAAJ,Willem H. Koppenol,24631
FnTKqWMAAAAJ,Werner Wegscheider,24615
t9zPP-oAAAAJ,Daniel J Muller,24160
lFI6TqAAAAAJ,Bradley J. Nelson,23799
zVsU-xEAAAAJ,Jean-Christophe Leroux,23743
y_wpkH8AAAAJ,Jürg Fröhlich,23699
Jb7eQ2UAAAAJ,Sigrist Manfred,23194
bUzbW_oAAAAJ,Wilhelm Krek,22993
5EdjkSIAAAAJ,Nicholas D. Spencer,22981
C87oLl8AAAAJ,Maksym V. Kovalenko,22702
fkNjVcIAAAAJ,Gustavo Alonso,21727
ohQllbcAAAAJ,Klaus Ensslin,21727
sUvG3ukAAAAJ,Helmut Bölcskei,21016
GZP3TdUAAAAJ,Markus Reiher,20816
-kPPDlQAAAAJ,Michael Siegrist,20646
eDHv58AAAAAJ,Andreas Krause,20124
IaDP3mkAAAAJ,Petros Koumoutsakos,20008
fdqxggMAAAAJ,Frank Schimmelfennig,19961
vGgOxAUAAAAJ,Christophe Coperet,19960
zIRQZ44AAAAJ,John Lygeros,19915
nXO5vugAAAAJ,Andreas Wallraff,19742
k4zCsC4AAAAJ,Klaas Pruessmann,19693
wvELLPYAAAAJ,Hans P. Merkle,19600
7cA8YgMAAAAJ,Shinichi Sunagawa,19520
9I_TYlsAAAAJ,Nenad Ban,19365
zQWbCzYAAAAJ,Joachim M. Buhmann,19210
p-_GptIAAAAJ,Martin J Loessner,19209
VtkPBNsAAAAJ,Srdjan Capkun (Srđan Čapkun),19111
ADbRzOUAAAAJ,Gaston H. Gonnet,18976
-mnHouQAAAAJ,Juerg Leuthold,18905
Re5ypoQAAAAJ,Martin Fussenegger,18841
Go9zIn0AAAAJ,Manfred Fiebig,18734
5Gbw6rsAAAAJ,"Antonio Togni, Prof. Dr.",18574
HkSI1LoAAAAJ,Michael Ristow,18348
hZFnbG0AAAAJ,Markus Niederberger,17786
xSkCtK8AAAAJ,James Kirchner,17630
fzIndCwAAAAJ,Roland W. Scholz,17279
YS-6YBkAAAAJ,domenico Giardini,17067
iaoPgvUAAAAJ,Marco Mazzotti,16807
eAMtR5MAAAAJ,Harald Bugmann,16580
wNOO-yMAAAAJ,Christoph Schwab,16487
Lc6rZrgAAAAJ,Peter H. Egger,16187
-UZsXAQAAAAJ,Dr. Jan Carmeliet,16127
4KJsLW0AAAAJ,Andreas Diekmann,15989
fmmZrwgAAAAJ,Ulrik Brandes,15933
fmMkcGAAAAAJ,Jeroen A. van Bokhoven,15917
TSsq3GMAAAAJ,Ueli Maurer,15855
NLYYGMwAAAAJ,Jean-Pierre Burg,15769
JcSgL40AAAAJ,Raffaele Mezzenga,15400
2Z5yhVIAAAAJ,Stefano Bernasconi,15177
38fZjQ0AAAAJ,Ruben Kretzschmar,14937
3E6FLmkgPzkC,Christophe Lacroix,14929
Ld3sA2kAAAAJ,Arnold Benz,14730
I4kGx7EAAAAJ,Bruce A. McDonald,14699
icROYlgAAAAJ,Gianni Blatter,14513
XN49czEAAAAJ,Robert Riener,14508
v3JsjMYAAAAJ,Karsten Borgwardt,14485
rIdxtXsAAAAJ,Friedemann Mattern,14276
X6-F0_0AAAAJ,Lino Guzzella,14083
FdGOel8AAAAJ,Raffaello D'Andrea,13990
ek1H-_QAAAAJ,Gerya Taras,13394
-BXSAmkAAAAJ,Jeffrey Bode,13384
sdw9roIAAAAJ,Nicolai Meinshausen,13218
QxoAVowAAAAJ,Lynne McCusker,13139
hHEArrcAAAAJ,Zoltan Kunszt,13030
KNiO4pwAAAAJ,Sara van de Geer,12955
FZuNgqIAAAAJ,Konrad Schindler,12935
OEBtlWgAAAAJ,Renato Renner,12912
64wBaqMAAAAJ,Jaboury Ghazoul,12908
cEK6MZsAAAAJ,Bernhard Wehrli,12829
PcClOVQAAAAJ,Erich Fischer,12654
7LWjImYAAAAJ,Andreas Fischlin,12561
GBU568oAAAAJ,Olga Sorkine-Hornung,12550
-BA-kHYAAAAJ,David Basin,12418
QfVWndgAAAAJ,Timothy Roscoe,12344
I2E7_5QAAAAJ,Stefan Wiemer,12277
-epU9OsAAAAJ,Otmar Hilliges,12181
BoOYP-sAAAAJ,Andre R Studart,12160
dO2FjV8AAAAJ,Pietro Gambardella,12157
Js6inH0AAAAJ,Wilhelm Gruissem,12055
CSMmegYAAAAJ,Joerg Stelling,11841
7PxZWDwAAAAJ,Habib Ammari,11820
NkuWcH0AAAAJ,Kenny Paterson,11818
B2U54GAAAAAJ,Vorholt Julia A.,11426
RnabX4gAAAAJ,HJ Schek (Hans-Jörg),11407
mc2FtrsAAAAJ,Stephan M. Wagner,11343
zeEYTloAAAAJ,Peter J. Uggowitzer,11249
0t4edxkAAAAJ,Heini Wernli,11249
S5116rsAAAAJ,Hans Christian Öttinger,11244
Y8rEIXMAAAAJ,Sebastian Kozerke,11223
D8UE3H4AAAAJ,Bart Clarysse,11205
qbNrSPYAAAAJ,Andreas Hierlemann,11196
ZWcMkuUAAAAJ,William Lowrie,11182
XnrdlWkAAAAJ,Bruno Gander,11064
U5PTwZsAAAAJ,Frank Schweitzer,10955
D-foqEYAAAAJ,Markus Weiger,10924
hnl-RQQAAAAJ,Tobi Delbruck,10851
mGTwOHsAAAAJ,George Haller,10842
1av269EAAAAJ,AG Green,10800
JjlrpYkAAAAJ,Stephen J. Ferguson,10761
iiNy0FkAAAAJ,Anthony Patt,10760
oeR4-G0AAAAJ,Silvia Dorn,10759
-oXWUV4AAAAJ,Armin Gruen,10747
1xEOTO0AAAAJ,Lars-Erik Cederman,10733
_GeU7MoAAAAJ,Jan Vermant,10679
wTnI4GgAAAAJ,Peter Walde,10660
eBWd5EcAAAAJ,Jörg F. Löffler,10466
zw-qG2cAAAAJ,Eric R. Dufresne,10170
b3EMhugAAAAJ,Karsten Weis,10161
LfMj4s0AAAAJ,Niko Beerenwinkel,10105
WtcBy5AAAAAJ,"Sturm, Jan-Egbert",10029
qCNN7boAAAAJ,Paul Tackley,10014
ElLQMNkAAAAJ,Edi Kissling,9792
RivxoIcAAAAJ,Zhendong Su,9776
cZCFdFIAAAAJ,Rahul Pandharipande,9600
gPw9RYkAAAAJ,teuber michael,9563
ipv4o7EAAAAJ,Susan Ivy-Ochs,9532
ab8yZaMAAAAJ,Helmut Weissert,9417
Wex5ALQAAAAJ,Paola Picotti,9377
u95-_dkAAAAJ,Markus Rudin,9356
Hd64msAAAAAJ,Bernhard Plattner,9278
zzmM5ggAAAAJ,Daniel Razansky,9238
beexB7EAAAAJ,Sean D Willett,9231
tpGTYkgAAAAJ,Nicole Wenderoth,9140
IVhZuv8AAAAJ,Maria Lukatskaya,8983
3UnkoGcAAAAJ,Nicola Zamboni,8889
lkIklpIAAAAJ,Bruno Sudret,8875
j7lpopIAAAAJ,Matthias Gaberdiel,8868
MDT9YJgAAAAJ,Peter Ulmer,8848
Huib0MwAAAAJ,Ralph Spolenak,8782
b5nQ5EkAAAAJ,Robert Grass,8743
FEx3JH8AAAAJ,Derek Vance,8653
b1swQnkAAAAJ,Kristopher McNeill,8643
m_O5xC8AAAAJ,Martin Schweizer,8579
EUCO-BAAAAAJ,Martin Kröger | Kroger,8508
P2kxZ3MAAAAJ,Florian Dörfler,8401
V1ONSgIAAAAJ,Aurelien Lucchi,8217
llbSkewAAAAJ,Baltsavias Emmanuel,8171
wFJoiW8AAAAJ,Elsener B,8137
bvN5cz8AAAAJ,Tanja Stadler,8135
YBSiFh4AAAAJ,Elsbeth Stern,8094
G1e3DVcAAAAJ,Daniel HD,8078
liPEBvQAAAAJ,huw davies,8061
Yr4LO3AAAAAJ,Alex Widmer,8041
RsUkgC8AAAAJ,Giuseppe Storti,7849
PHrxWqEAAAAJ,Pawel Kampczyk,7824
B-ahvCwAAAAJ,Consuelo M. De Moraes,7784
HU7AXbIAAAAJ,Matthias Gstaiger,7726
0JRKc5MAAAAJ,Jan Stenflo,7686
mliG6hAAAAAJ,Ilya Karlin,7635
rFW0mNUAAAAJ,Massimo Filippini,7552
u3MwH5kAAAAJ,Radu Timofte,7539
odlJel0AAAAJ,Lukas Wacker,7453
NCSSpMkAAAAJ,Martin Danelljan,7323
fQWggs0AAAAJ,Thomas Bernauer,7203
3afYEWwAAAAJ,Daniel Hofstetter,7134
kylW8mUAAAAJ,Komei Fukuda,7113
cSsdfFcAAAAJ,Roman Stocker,7043
GEUTVUIAAAAJ,Hans R. Kuensch,7030
xYR_-eEAAAAJ,Thomas Schulthess,7027
67BxIbwAAAAJ,Markard Jochen,7012
AUKQ2kIAAAAJ,Marcy Wong,6999
ngDxHM8AAAAJ,Petra Dittrich,6965
2wsYv8oAAAAJ,Emma Wetter Slack,6858
g_1Z3u4AAAAJ,Sergii Yakunin,6755
tuPSdzUAAAAJ,Olivier Bachmann,6717
FnKN7XgAAAAJ,Johan OA Robertsson,6682
js4jTMgAAAAJ,Robert J. Flatt,6646
mYYueHIAAAAJ,Andrey Zheludev,6637
NE0nBxoAAAAJ,J. Biela,6576
tU0dNNYAAAAJ,Santos F. Alvarado,6531
jlTTrS4AAAAJ,Jonathan Hall,6514
DdBvcBEAAAAJ,Torsten Hoefler,6502
az9ZryAAAAAJ,Markus Püschel,6500
2-eBuEAAAAAJ,Christian Hafner,6500
eFa1bz0AAAAJ,Bernd Wollscheid,6495
vjtlweYAAAAJ,Stephan Pfister,6490
eRxWEKoAAAAJ,Marc Georg Willinger,6463
oqb8IBQAAAAJ,Jens Honore Walther,6447
FYaZAT8AAAAJ,Horst-Michael Prasser,6426
OeEMrhQAAAAJ,Ender Konukoglu,6384
25uXddsAAAAJ,Jürg Dual,6378
yqfXEPIAAAAJ,Benjamin Sudakov,6373
tN0xOJAAAAAJ,Eling D. de Bruin,6359
-LDEZCAAAAAJ,Neil Mancktelow,6247
41p8YPcAAAAJ,Adrian Leuchtmann,6201
_AM6h_QAAAAJ,Giacomo Scalari,6185
qG8uVoYAAAAJ,Roy S Smith,6177
EjJ4kswAAAAJ,Martin Raubal,6156
IGRwLnwAAAAJ,Sven Panke,6123
Jz1O6loAAAAJ,Amos Lapidoth,6113
E1_0iCoAAAAJ,Christian Pohl,6063
9_NXewYAAAAJ,Thomas N. Sieber,6058
_-KTH7wAAAAJ,Mehmet Fatih Yanik,6054
3Xg0rEwAAAAJ,Gudela Grote,6038
XYkPvZUAAAAJ,Shih-Chii Liu,6036
C0UhwEIAAAAJ,Margarita Chli,5994
kIHNo_8AAAAJ,Martin Hirschi,5922
YILsNPMAAAAJ,Thomas P Van Boeckel,5902
DkG6O6wAAAAJ,Erich Windhab,5902
LF98qcEAAAAJ,Peter Fischer,5888
zbGegDQAAAAJ,Urs Beyerle,5850
e09I_-MAAAAJ,Patrick Jenny,5830
-XhTq_cAAAAJ,Stefano Brusoni,5817
EzgWIwUAAAAJ,Monika Maurhofer,5789
lBIAr-EAAAAJ,Matthias Ernst,5769
QsISMkkAAAAJ,Sarah Springman,5762
BZB9HSAAAAAJ,Adrienne Grêt-Regamey,5742
1EJBgD8AAAAJ,Christoph Kueffer,5738
rVnhmMIAAAAJ,Dominique Guinard,5718
CuyLnz4AAAAJ,Loïc Pellissier,5688
Ph-LRkwAAAAJ,Jan Beutel,5649
ohe2sf4AAAAJ,Mazza Edoardo,5485
lJnuIlYAAAAJ,Lukas Gallmann,5468
P3AgKMQAAAAJ,Achim Walter,5412
i4mhGWAAAAAJ,Jörg Goldhahn,5404
f4nKmyIAAAAJ,Emre Togan,5395
kk5lwecAAAAJ,Martin Ackermann,5374
kmFttIgAAAAJ,Sebastian Stepanow,5348
40PAHpsAAAAJ,Mark Mescher,5335
f6ObRuQAAAAJ,Francois E. Cellier,5320
c52c_pwAAAAJ,Hansruedi Maurer,5314
5IkP9EgAAAAJ,Hans-Martin Fischer,5314
z7zA2qAAAAAJ,Helma Wennemers,5291
AxZIIccAAAAJ,Roger Gassert,5279
kUkWHRQAAAAJ,Vanessa Wood,5274
ttxZRHEAAAAJ,Peter Müller,5240
L0uPYrQAAAAJ,Harald Atmanspacher,5228
WtRCm-UAAAAJ,William R. Taylor,5137
UVPGOF0AAAAJ,Peter Bayer,5133
dXawfwcAAAAJ,Kjong-Van Lehmann,5131
f6a16WYAAAAJ,Kirsten Bomblies,5123
YX8bDe0AAAAJ,Andreas Schenk,4945
DexNjh0AAAAJ,Hans Jakob Wörner,4933
pnfRkR8AAAAJ,Marcel Guillong,4932
uPegIXAAAAAJ,Mathieu Luisier,4885
FBtKFBQAAAAJ,Bozidar Stojadinovic,4881
tLJEax8AAAAJ,Ludovic Gillet,4848
ky7_3c0AAAAJ,Sung Sik Lee,4806
E6ZbYAIAAAAJ,Thomas Lottermoser,4781
1UzIg5cAAAAJ,Tobias Donner,4750
RgypKrIAAAAJ,Paul Schönsleben,4683
yZRnK0oAAAAJ,Yaakov (Kobi) Benenson,4660
33XB5BAAAAAJ,Roland Regoes,4656
CNIjiQoAAAAJ,Gabor Csucs,4638
yYcAHfgAAAAJ,Kim Zarse,4626
E4UymDMAAAAJ,Elad Noor,4592
6wS9grQAAAAJ,Mark W. Tibbitt,4541
HQl63YoAAAAJ,Jozef Adamcik,4540
Mtp3CMkAAAAJ,Florian Wangenheim,4534
__V_FXIAAAAJ,Leo Meile,4453
WO2SIbAAAAAJ,Christoph Glocker,4424
g7yXnrAAAAAJ,Juan Nieto,4423
b43nMXAdGskC,Michael Stauffacher,4419
9AQyTfkAAAAJ,Martin Etzrodt,4415
NDIWfVwAAAAJ,Robin Schaeublin,4396
eUK7IyQAAAAJ,Marcus Christl,4395
OqpT5qMAAAAJ,Alessio Figalli,4388
aZ1Rh50AAAAJ,Martin Vechev,4382
Wi0-rFYAAAAJ,Nives Skunca,4372
URe1UuQAAAAJ,Lubor Ladicky,4338
Kzeoyq8AAAAJ,Angelika Steger,4331
d13xEusAAAAJ,Randall J Platt,4320
82hRJSEAAAAJ,Matthias Golling,4291
VU-6A9sAAAAJ,Christoph R Müller,4290
7Yba91QAAAAJ,Christian Beisel,4208
oTLoTAUAAAAJ,C. Stamm,4195
MDBr4jMAAAAJ,Jonas Grossmann,4119
4cSRhksAAAAJ,Eilika Weber-Ban,4109
m9LEt6cAAAAJ,shin Jae lee,4034
o5oPaxwAAAAJ,Edouard Davin,4026
T3ZCB1oAAAAJ,Kristina Shea,3962
tXK5xIEAAAAJ,Reinhard Dechant,3928
61bEXHAAAAAJ,Prof. Dr. Colombo Bolognesi,3927
kzbaCd4AAAAJ,Michael Sander,3914
EVPs61QAAAAJ,G. Habert,3883
E1OE9gIAAAAJ,Dirk Mohr,3883
XVKdvM8AAAAJ,Sai T. Reddy,3865
U5DoJ5IAAAAJ,Ruediger Mutz,3844
f0kV4UIAAAAJ,Stéphane Magnenat,3829
8FfrHw0AAAAJ,Fernando Perez-Cruz,3814
reyRj6oAAAAJ,Ioannis Anastasopoulos,3810
zn8SBGYAAAAJ,Martin O. Saar,3810
DG5WZZEAAAAJ,Mark Alexander Lever,3797
7NJ7Ax8AAAAJ,Patrick Cheridito,3757
QkGEmksAAAAJ,Theo Tervoort,3731
wFpF2_kAAAAJ,Athina Anastasaki,3728
zrAw7CwAAAAJ,Chih-Jen Shih,3691
4BZn9UDiKGYC,Spyros Arvanitis,3675
0J4zK6gAAAAJ,Cornelia Halin,3670
i3GNHtwAAAAJ,Stefanie D. Krämer,3668
Vz_yy3MAAAAJ,Gregory J Velicer,3666
rOL5qIkAAAAJ,Martin H. Gutknecht,3664
SdGU2bMAAAAJ,Jens Teubner,3656
ulTcrsMAAAAJ,Marcel Zemp,3654
jU9rADoAAAAJ,Alexei Vyssotski,3647
u1smC2cAAAAJ,Timothy G Vaughan,3628
SdKSP70AAAAJ,Franziska Krieg,3628
vS2NUIcAAAAJ,Myrtha Arnold,3621
aZBsDw4AAAAJ,Heather M Stoll,3607
dBT_MOAAAAAJ,Gabriela Hug,3602
eMoVrQEAAAAJ,Patrick Kiefer,3577
_IyZtBQAAAAJ,Peter Lehmann,3557
rBcCOe0AAAAJ,Lucio Isa,3534
